"","PCode","REGION","DISTRICT","Code_CSREF","STRUCTURE","PCODE2","TYPE","DATE OUVERTURE","NBRE VILLAGE","DISTANCE","ACCESSIBILITE","Source","obs","X2","Y2","Y3"
"1","ML07R03C001","GAO","BOUREM","ML07R03","ABAKOIRA","ML07R03C001","CSCOM","2010",2,30,"OUI","OMS Survey",NA,-1.57091552124,17.0321276008,NA
"2","ML09R02C001","KIDAL","ABEIBARA","ML09R02","ABEIBARA CENT0AL","ML09R02C001","CSCOM","1999",12,5462,"NON","OMS Survey",NA,1.82545298200005,19.287853873,NA
"3","ML09R02C000","KIDAL","ABEIBARA","ML09R02","ABEIBARA CSREF","ML09R02C000","CSRef","2000",0,150,NA,"OMS Survey",NA,1.82545298200005,19.287853873,NA
"4","ML08R02C001","BAMAKO","COMMUNE2","ML08R02","ABOSAC","ML08R02C001","CSCOM","2011",4,3,"OUI","OMS Survey",NA,-7.98637000012,12.6336400003,NA
"5","ML06R01C001","TOMBOUCTOU","TOMBOUCTOU","ML06R01","ACHARANE","ML06R01C001","CSCOM","1999",3,200,"OUI","OMS Survey",NA,-3.29580275529,20.0102681079,NA
"6","ML08R05C001","BAMAKO","COMMUNE5","ML08R05","ADASCO","ML08R05C001","CSCOM","2011",1,2,"OUI","OMS Survey",NA,-7.97628999983,12.59426,NA
"7","ML02R06C001","KOULIKORO","KATI","ML02R06","ADEKEN","ML02R06C001","CSCOM","2003",2,NA,"OUI","OMS Survey",NA,-8.00021472209,12.5666694444,NA
"8","ML06R03C001","TOMBOUCTOU","GOUNDAM","ML06R03","ADERMALANE","ML06R03C001","CSCOM","2004",23,0,"OUI","OMS Survey",NA,-4.154650274,16.654130975,NA
"9",NA,"TOMBOUCTOU","Gourma-Rharous",NA,"ADIORA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-1.249261,16.504318,NA
"10","ML09R01C001","KIDAL","KIDAL","ML09R01","AGHABO","ML09R01C001","CSCOM","2004",6,45,"NON","OMS Survey",NA,1.29089998142083,18.1263999768,NA
"11","ML06R01C002","TOMBOUCTOU","TOMBOUCTOU","ML06R01","AGLAL","ML06R01C002","CSCOM","1999",9,45,"OUI","OMS Survey",NA,-2.683671397,16.614345975,NA
"12","ML06R01C003","TOMBOUCTOU","TOMBOUCTOU","ML06R01","AGOUNI","ML06R01C003","CSCOM","1999",4,35,"OUI","OMS Survey",NA,-2.997222148,17.054166851,NA
"13","ML09R01C002","KIDAL","KIDAL","ML09R01","ALIOU","ML09R01C002","CSCOM","2001",13,3,"NON","OMS Survey",NA,1.40855948153043,18.4273657271,NA
"14","ML07R01C001","GAO","GAO","ML07R01","ALJANABANDJA","ML07R01C001","CSCOM","2000",1,2,"OUI","OMS Survey",NA,-0.027067825037,16.2665205798,NA
"15",NA,"TOMBOUCTOU","Goundam",NA,"ALJOUNOUB","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition","Non localise",NA,NA,NA
"16","ML02R08C001","KOULIKORO","NARA","ML02R08","ALLAHINA","ML02R08C001","CSCOM","2005",12,210,"OUI","OMS Survey",NA,-8.740041153,15.223594099,NA
"17","ML07R03C002","GAO","BOUREM","ML07R03","ALMOUSTARAT","ML07R03C002","CSCOM","2009",20,80,"OUI","OMS Survey",NA,0.251299999673461,17.4789799997,NA
"18","ML05R06C001","MOPTI","KORO","ML05R06","AMBA","ML05R06C001","CSCOM","2005",11,NA,NA,"OMS Survey",NA,-2.97184999987,14.79329,NA
"19","ML01R01C001","KAYES","KAYES","ML01R01","AMBIDEDI POSTE","ML01R01C001","CSCOM","2006",7,45,"NON","OMS Survey",NA,-11.793454906,14.589930474,NA
"20","ML01R01C002","KAYES","KAYES","ML01R01","AMBIDEDI-KORE","ML01R01C002","CSCOM","1999",7,45,"NON","OMS Survey",NA,-11.7511599997,14.7935999996,NA
"21","ML05R08C001","MOPTI","YOUWAROU","ML05R08","AMBIRI","ML05R08C001","CSCOM","1999",23,NA,NA,"OMS Survey",NA,-4.211857274,15.512128724,NA
"22","ML05R08C002","MOPTI","YOUWAROU","ML05R08","AMBIRI-HABE","ML05R08C002","CSCOM","1999",23,24,"OUI","OMS Survey",NA,-4.211857274,15.512128724,NA
"23","ML07R04C001","GAO","MENAKA","ML07R04","ANDERAMBOUKANE","ML07R04C001","CSCOM","2001",16,100,"OUI","OMS Survey",NA,3.02272423300007,15.423452974,NA
"24","ML06R05C001","TOMBOUCTOU","NIAFUNKE","ML06R05","ANDIAM","ML06R05C001","CSCOM","2006",28,0,"NON","OMS Survey",NA,-3.993564274,15.927340225,NA
"25","ML09R01C003","KIDAL","KIDAL","ML09R01","ANEFIF","ML09R01C003","CSCOM","2001",7,107,"NON","OMS Survey",NA,0.603067000411191,18.0425880002,NA
"26","ML08R06C001","BAMAKO","COMMUNE6","ML08R06","ANIASCO","ML08R06C001","CSCOM","1992",1,8,"OUI","OMS Survey",NA,-7.96229999961,12.5653200002,NA
"27","ML07R04C002","GAO","MENAKA","ML07R04","ANOUZEGRENE","ML07R04C002","CSCOM","2001",10,80,"OUI","OMS Survey",NA,2.49716999978226,15.5371099998,NA
"28","ML07R02C000","GAO","ANSONGO","ML07R02","ANSONGO CSREF","ML07R02C000","CSRef","1996",0,100,NA,"OMS Survey",NA,0.501388888884242,15.6647222219,NA
"29","ML01R01C003","KAYES","KAYES","ML01R01","AOUROU","ML01R01C003","CSCOM","1997",5,70,"OUI","OMS Survey",NA,-11.5890996556,14.9608957239,NA
"30","ML06R05C002","TOMBOUCTOU","NIAFUNKE","ML06R05","ARABEBE","ML06R05C002","CSCOM","2004",6,40,"OUI","OMS Survey",NA,-3.80427700021,16.0787730003,NA
"31",NA,"TOMBOUCTOU","Goundam",NA,"ARATENE","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,-4.58444444444444,16.3563888888889,NA
"32","ML06R02C001","TOMBOUCTOU","DIRE","ML06R02","ARHAM","ML06R02C001","CSCOM","2008",1,16,"OUI","OMS Survey",NA,-3.374444523,16.3791676,NA
"33","ML06R01C004","TOMBOUCTOU","TOMBOUCTOU","ML06R01","AROUANE","ML06R01C004","CSCOM","1999",2,NA,NA,"OMS Survey",NA,-3.21908564778,18.8291612275,NA
"34",NA,"BAMAKO","COMMUNE1",NA,"ASACKO NORD","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,NA,NA,NA
"35","ML02R06C002","KOULIKORO","KATI","ML02R06","ASACO - SAN","ML02R06C002","CSCOM","2001",3,40,"OUI","OMS Survey",NA,-7.87589999965,12.6912899998,NA
"36","ML08R06C002","BAMAKO","COMMUNE6","ML08R06","ASACO CITE UNICEF","ML08R06C002","CSCOM","2007",0,0,NA,"OMS Survey",NA,-7.9333730563,12.5835880562,NA
"37","ML02R06C003","KOULIKORO","KATI","ML02R06","ASACO KANER","ML02R06C003","CSCOM","2010",1,35,"OUI","OMS Survey",NA,-8.00000888931,12.5500544442,NA
"38","ML03R06C001","SIKASSO","KOUTIALA","ML03R06","ASACO LELENI","ML03R06C001","CSCOM","2007",5,5,"OUI","OMS Survey",NA,-5.24472222195,12.3908333332,NA
"39","ML08R01C001","BAMAKO","COMMUNE1","ML08R01","ASACOBA","ML08R01C001","CSCOM","1989",1,0,"OUI","OMS Survey",NA,-7.95695000029,12.6619899999,NA
"40","ML08R05C002","BAMAKO","COMMUNE5","ML08R05","ASACOBADA","ML08R05C002","CSCOM","2009",NA,500,"OUI","OMS Survey",NA,-7.9811499996,12.6115900004,NA
"41","ML08R06C003","BAMAKO","COMMUNE6","ML08R06","ASACOBAFA","ML08R06C003","CSCOM","1992",1,NA,NA,"OMS Survey",NA,-7.94911010007,12.5831066,NA
"42","ML08R03C001","BAMAKO","COMMUNE3","ML08R03","ASACOBAKON","ML08R03C001","CSCOM","1978",5,52,"OUI","OMS Survey",NA,-8.01556999984,12.6458200003,NA
"43","ML08R01C002","BAMAKO","COMMUNE1","ML08R01","ASACOBOUL1","ML08R01C002","CSCOM","1992",3,7,"OUI","OMS Survey",NA,-7.91392000019,12.6696300001,NA
"44","ML08R01C003","BAMAKO","COMMUNE1","ML08R01","ASACOBOUL2","ML08R01C003","CSCOM","1992",1,6,"OUI","OMS Survey",NA,-7.92850000041,12.6684,NA
"45","ML08R06C004","BAMAKO","COMMUNE6","ML08R06","ASACOCY","ML08R06C004","CSCOM","2011",7,4,"OUI","OMS Survey",NA,-7.91553000037,12.5965599996,NA
"46","ML08R05C003","BAMAKO","COMMUNE5","ML08R05","ASACODA","ML08R05C003","CSCOM","2010",0,NA,NA,"OMS Survey",NA,-7.97757530035,12.6008291998,NA
"47","ML08R05C004","BAMAKO","COMMUNE5","ML08R05","ASACODA","ML08R05C004","CSCOM","1992",2,2,"OUI","OMS Survey",NA,-7.97758000034,12.6008300002,NA
"48","ML08R03C002","BAMAKO","COMMUNE3","ML08R03","ASACODAR","ML08R03C002","CSCOM","1998",1,6,"OUI","OMS Survey",NA,-7.99713999998,12.6477700001,NA
"49","ML08R03C003","BAMAKO","COMMUNE3","ML08R03","ASACODES","ML08R03C003","CSCOM","1995",5,4,"NON","OMS Survey",NA,-8.0324499998,12.6628299997,NA
"50","ML08R01C004","BAMAKO","COMMUNE1","ML08R01","ASACODJAN","ML08R01C004","CSCOM","2000",1,2,"OUI","OMS Survey",NA,-7.95580999957,12.6837799997,NA
"51","ML08R01C005","BAMAKO","COMMUNE1","ML08R01","ASACODJE","ML08R01C005","CSCOM","1994",1,1,"OUI","OMS Survey",NA,-7.93541999972,12.6641800002,NA
"52","ML08R04C001","BAMAKO","COMMUNE4","ML08R04","ASACODJENEKA","ML08R04C001","CSCOM","2005",1,4,"OUI","OMS Survey",NA,-8.01689999964,12.6197000004,NA
"53","ML08R04C002","BAMAKO","COMMUNE4","ML08R04","ASACODJIP","ML08R04C002","CSCOM","2006",1,5,"OUI","OMS Survey",NA,-8.01970999991,12.6197200004,NA
"54","ML08R01C006","BAMAKO","COMMUNE1","ML08R01","ASACODOU","ML08R01C006","CSCOM","1997",7,5,"OUI","OMS Survey",NA,-7.93682999989,12.6896499997,NA
"55","ML08R03C004","BAMAKO","COMMUNE3","ML08R03","ASACODRAB","ML08R03C004","CSCOM","2029",2,1,"OUI","OMS Survey",NA,-8.00456999983,12.6302600001,NA
"56",NA,"BAMAKO","COMMUNE6",NA,"ASACOFA","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,NA,NA,NA
"57",NA,"BAMAKO","COMMUNE6",NA,"ASACOFA II","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,NA,NA,NA
"58",NA,"BAMAKO","COMMUNE1",NA,"ASACOFADI","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,NA,NA,NA
"59","ML08R05C005","BAMAKO","COMMUNE5","ML08R05","ASACOGA","ML08R05C005","CSCOM","1994",1,10,"OUI","OMS Survey",NA,-7.99438999997,12.5603599999,NA
"60","ML03R02C001","SIKASSO","BOUGOUNI","ML03R02","ASACOGA I","ML03R02C001","CSCOM","1997",30,60,"OUI","OMS Survey",NA,-7.45001945221,10.985216523,NA
"61","ML08R02C002","BAMAKO","COMMUNE2","ML08R02","ASACOGO","ML08R02C002","CSCOM","2011",3,0,"OUI","OMS Survey",NA,-8.00019027803,12.6835994442,NA
"62","ML08R04C003","BAMAKO","COMMUNE4","ML08R04","ASACOHAM","ML08R04C003","CSCOM","2006",1,1,"OUI","OMS Survey",NA,-8.01867999969,12.6305399998,NA
"63","ML08R02C003","BAMAKO","COMMUNE2","ML08R02","ASACOHI","ML08R02C003","CSCOM","2003",NA,1,"OUI","OMS Survey",NA,-7.97206000024,12.6645200002,NA
"64","ML02R06C005","KOULIKORO","KATI","ML02R06","ASACOKA","ML02R06C005","CSCOM","1994",10,25,"OUI","OMS Survey",NA,-7.84038136176,12.516595135,NA
"65","ML08R05C006","BAMAKO","COMMUNE5","ML08R05","ASACOKAL","ML08R05C006","CSCOM","1994",4,3,"OUI","OMS Survey",NA,-7.98530999976,12.5754400001,NA
"66","ML08R05C007","BAMAKO","COMMUNE5","ML08R05","ASACOKAL ACI","ML08R05C007","CSCOM","1994",4,3,"OUI","OMS Survey",NA,-7.9832900004,12.5413299999,NA
"67","ML08R01C008","BAMAKO","COMMUNE1","ML08R01","ASACOKOSA","ML08R01C008","CSCOM","1996",2,2,"OUI","OMS Survey",NA,-7.94104000028,12.6486899997,NA
"68","ML08R03C005","BAMAKO","COMMUNE3","ML08R03","ASACOKOULPOINT","ML08R03C005","CSCOM","2011",3,2,"OUI","OMS Survey",NA,-7.99271000037,12.66229,NA
"69","ML08R04C004","BAMAKO","COMMUNE4","ML08R04","ASACOLA B5","ML08R04C004","CSCOM","1997",1,2,"OUI","OMS Survey",NA,-8.0500600004,12.6168900004,NA
"70","ML08R04C005","BAMAKO","COMMUNE4","ML08R04","ASACOLA I","ML08R04C005","CSCOM","1997",1,1,"OUI","OMS Survey",NA,-8.0334099997,12.61982,NA
"71","ML08R04C006","BAMAKO","COMMUNE4","ML08R04","ASACOLA II","ML08R04C006","CSCOM","1998",1,1,"OUI","OMS Survey",NA,-8.03348000002,12.6313799996,NA
"72","ML08R04C007","BAMAKO","COMMUNE4","ML08R04","ASACOLABASAD","ML08R04C007","CSCOM","2001",1,18,"OUI","OMS Survey",NA,-8.03358999962,12.6500399996,NA
"73","ML08R03C006","BAMAKO","COMMUNE3","ML08R03","ASACOM","ML08R03C006","CSCOM","1996",3,1,"OUI","OMS Survey",NA,-7.99495999989,12.6340700002,NA
"74","ML08R06C007","BAMAKO","COMMUNE6","ML08R06","ASACOMA I","ML08R06C007","CSCOM","1991",1,2,"OUI","OMS Survey",NA,-7.95690000006,12.6107299998,NA
"75","ML08R06C008","BAMAKO","COMMUNE6","ML08R06","ASACOMA II","ML08R06C008","CSCOM","2011",1,3,"OUI","OMS Survey",NA,-7.93513000019,12.6138899996,NA
"76","ML08R02C004","BAMAKO","COMMUNE2","ML08R02","ASACOME","ML08R02C004","CSCOM","2001",1,1,"OUI","OMS Survey",NA,-7.98689999985,12.6518300001,NA
"77","ML08R06C009","BAMAKO","COMMUNE6","ML08R06","ASACOMIS","ML08R06C009","CSCOM","2003",1,4,"OUI","OMS Survey",NA,-7.91409000007,12.6178799997,NA
"78","ML08R01C009","BAMAKO","COMMUNE1","ML08R01","ASACOMSI","ML08R01C009","CSCOM","1993",1,2,"OUI","OMS Survey",NA,-7.97428999966,12.6737000002,NA
"79","ML08R06C010","BAMAKO","COMMUNE6","ML08R06","ASACONIA","ML08R06C010","CSCOM","1992",1,3,"OUI","OMS Survey",NA,-7.95593000012,12.5788600004,NA
"80","ML08R01C010","BAMAKO","COMMUNE1","ML08R01","ASACONORD","ML08R01C010","CSCOM","2006",1,2,"OUI","OMS Survey",NA,-7.94798999973,12.6629599997,NA
"81","ML08R03C007","BAMAKO","COMMUNE3","ML08R03","ASACOOB","ML08R03C007","CSCOM","2005",3,2,"OUI","OMS Survey",NA,-8.00141999979,12.6418099997,NA
"82","ML08R05C008","BAMAKO","COMMUNE5","ML08R05","ASACOSAB I","ML08R05C008","CSCOM","1998",1,2,"OUI","OMS Survey",NA,-7.99362000005,12.5821399999,NA
"83","ML08R05C009","BAMAKO","COMMUNE5","ML08R05","ASACOSAB II","ML08R05C009","CSCOM","1994",1,2,"OUI","OMS Survey",NA,-8.00082999979,12.5747500002,NA
"84","ML08R05C010","BAMAKO","COMMUNE5","ML08R05","ASACOSAB III","ML08R05C010","CSCOM","2011",1,2,"OUI","OMS Survey",NA,-7.99340999998,12.5945799999,NA
"85","ML08R06C011","BAMAKO","COMMUNE6","ML08R06","ASACOSE","ML08R06C011","CSCOM","1992",5,27,"OUI","OMS Survey",NA,-7.94739999973,12.5395599996,NA
"86","ML08R04C008","BAMAKO","COMMUNE4","ML08R04","ASACOSEK","ML08R04C008","CSCOM","1991",1,5,"OUI","OMS Survey",NA,-8.05015999996,12.5844999996,NA
"87","ML08R04C009","BAMAKO","COMMUNE4","ML08R04","ASACOSEKASI","ML08R04C009","CSCOM","2011",1,7,"OUI","OMS Survey",NA,-8.06173999993,12.5669400003,NA
"88","ML02R06C006","KOULIKORO","KATI","ML02R06","ASACOSI0E","ML02R06C006","CSCOM","1994",5,40,"OUI","OMS Survey",NA,-7.85851000006,12.6256800003,NA
"89","ML08R01C011","BAMAKO","COMMUNE1","ML08R01","ASACOSISOU","ML08R01C011","CSCOM","2010",1,2,"OUI","OMS Survey",NA,-7.96178999997,12.6708099997,NA
"90","ML08R06C012","BAMAKO","COMMUNE6","ML08R06","ASACOSO","ML08R06C012","CSCOM","1992",1,1,"OUI","OMS Survey",NA,-7.95794000033,12.6021499996,NA
"91","ML08R06C013","BAMAKO","COMMUNE6","ML08R06","ASACOSODIA","ML08R06C013","CSCOM","1999",2,2,"OUI","OMS Survey",NA,-7.94515000021,12.6083199997,NA
"92","ML08R03C008","BAMAKO","COMMUNE3","ML08R03","ASACOTOM","ML08R03C008","CSCOM","1994",4,6,"OUI","OMS Survey",NA,-8.01330000024,12.6518400001,NA
"93","ML08R05C011","BAMAKO","COMMUNE5","ML08R05","ASACOTOQUA","ML08R05C011","CSCOM","1997",1,9,"OUI","OMS Survey",NA,-7.99502000016,12.6038999998,NA
"94","ML08R06C014","BAMAKO","COMMUNE6","ML08R06","ASACOYIR","ML08R06C014","CSCOM","1997",1,10,"OUI","OMS Survey",NA,-7.92581999983,12.6039499997,NA
"95","ML08R06C005","BAMAKO","COMMUNE6","ML08R06","ASACP0A","ML08R06C005","CSCOM","2001",1,2,"OUI","OMS Survey",NA,-7.94225000042,12.5904900003,NA
"96","ML08R06C006","BAMAKO","COMMUNE6","ML08R06","ASACP0A II","ML08R06C006","CSCOM","1992",2,2,"OUI","OMS Survey",NA,-7.92699999984,12.58785,NA
"97","ML08R01C007","BAMAKO","COMMUNE1","ML08R01","ASACP0ADJI","ML08R01C007","CSCOM","1994",4,3,"OUI","OMS Survey",NA,-7.9421800001,12.6765499998,NA
"98","ML02R06C007","KOULIKORO","KATI","ML02R06","ASAKKOUL","ML02R06C007","CSCOM","2011",1,30,"OUI","OMS Survey",NA,-8.01670499964,12.5500613889,NA
"99",NA,"BAMAKO","COMMUNE3",NA,"ASCOM","0","CSCOM",NA,NA,NA,NA,"Cluster Nutrition",NA,NA,NA,NA
"100","ML08R05C012","BAMAKO","COMMUNE5","ML08R05","ASCOMBACODJI","ML08R05C012","CSCOM","1993",7,4,"OUI","OMS Survey",NA,-8.01489000032,12.5859100004,NA
"101","ML02R06C008","KOULIKORO","KATI","ML02R06","ASCOMKA","ML02R06C008","CSCOM","1993",1,1,"OUI","OMS Survey",NA,-7.96407999967,12.7201700002,NA
"102","ML05R01C001","MOPTI","MOPTI","ML05R01","ASCOTAMB","ML05R01C001","CSCOM","1994",3,1,"OUI","OMS Survey",NA,-4.16946916308,14.5125634745,NA
"103","ML09R03C001","KIDAL","TESSALIT","ML09R03","ASSEKHAT (ADEL - HOC)","ML09R03C001","CSCOM","2001",13,100,"NON","OMS Survey",NA,0.854822000369334,19.4463579996,NA
"104","ML06R01C005","TOMBOUCTOU","TOMBOUCTOU","ML06R01","ASSIDI","ML06R01C005","CSCOM","1999",1,15,"OUI","OMS Survey",NA,-2.41305500039,16.8605533575,NA
"105","ML06R05C003","TOMBOUCTOU","NIAFUNKE","ML06R05","ATTARA","ML06R05C003","CSCOM","2003",3,24,"OUI","OMS Survey",NA,-4.35099464883,15.6596923496,NA
"106","ML01R06C001","KAYES","NIORO","ML01R06","AWOINY","ML01R06C001","CSCOM","2001",7,7,"OUI","OMS Survey",NA,-9.52366000011,15.1543799998,NA
